Date,Survival Overall Est,Survival Overall LCL 80,Survival Overall UCL 80,Survival Sacramento Est,Survival Sacramento LCL 80,Survival Sacramento UCL 80,Survival Yolo Est,Survival Yolo LCL 80,Survival Yolo UCL 80,Survival Sutter Est,Survival Sutter LCL 80,Survival Sutter UCL 80,Survival Steamboat Est,Survival Steamboat LCL 80,Survival Steamboat UCL 80,Survival Interior Delta Est,Survival Interior Delta LCL 80,Survival Interior Delta UCL 80,Routing Probability Sacramento Est,Routing Probability Sacramento LCL 80,Routing Probability Sacramento UCL 80,Routing Probability Yolo Est,Routing Probability Yolo LCL 80,Routing Probability Yolo UCL 80,Routing Probability Sutter Est,Routing Probability Sutter LCL 80,Routing Probability Sutter UCL 80,Routing Probability Steamboat Est,Routing Probability Steamboat LCL 80,Routing Probability Steamboat UCL 80,Routing Probability Interior Delta Est,Routing Probability Interior Delta LCL 80,Routing Probability Interior Delta UCL 80,Median Travel Time Overall Est,Median Travel Time Overall LCL 80,Median Travel Time Overall UCL 80,Median Travel Time Sacramento Est,Median Travel Time Sacramento LCL 80,Median Travel Time Sacramento UCL 80,Median Travel Time Yolo Est,Median Travel Time Yolo LCL 80,Median Travel Time Yolo UCL 80,Median Travel Time Sutter Est,Median Travel Time Sutter LCL 80,Median Travel Time Sutter UCL 80,Median Travel Time Steamboat Est,Median Travel Time Steamboat LCL 80,Median Travel Time Steamboat UCL 80,Median Travel Time Interior Delta Est,Median Travel Time Interior Delta LCL 80,Median Travel Time Interior Delta UCL 80
2019-10-01,0.161471698429113,0.098696887507487,0.231025607533176,0.174443064515879,0.101898742506835,0.253659744172629,NA,NA,NA,0.196229882590941,0.106983448168352,0.297672666849484,0.160836746194953,0.0831126781840464,0.2508872558569,0.0648106592421,0.0245927420773904,0.117870724330575,0.603739048608591,0.570978982763209,0.635009713733819,0,0,0,0.135715732508301,0.115704899510174,0.157547697654289,0.132837041709257,0.114540210456302,0.151296866391456,0.127708177173852,0.103880639884248,0.154067405599743,6.44451364558949,6.29829529649457,6.61751296703884,5.989,6,6,NA,NA,NA,6.049,6,6,5.889,5,6,9.592,9,10
2019-10-02,0.209279172340104,0.147978374220993,0.273433474955171,0.225877867213844,0.15256497985631,0.304848389844291,NA,NA,NA,0.25472892980774,0.158271720618904,0.358963139620852,0.210267158228734,0.121600274820773,0.306008719965928,0.0831243774013772,0.0341436629128608,0.141622865146632,0.603047004806156,0.56981763673181,0.634616675427147,0,0,0,0.13580224981458,0.11550720084029,0.157966425571163,0.133190527922068,0.114604507137094,0.151852088765068,0.127960217457196,0.103948275977143,0.154571089478999,6.38928015038271,6.21056692780425,6.59225985786169,5.959,6,6,NA,NA,NA,6.009,6,6,5.736,5,6,9.496,9,10
2019-10-03,0.230387771903649,0.172243131672539,0.291302547829778,0.247771446651188,0.17659394036767,0.326922877425709,NA,NA,NA,0.28524678743131,0.182653127829951,0.390207735265145,0.232064557280828,0.138096526543605,0.332956123733888,0.0905399937174209,0.0366429118309207,0.154438688834443,0.601928368234139,0.568260717774275,0.633798253325527,0,0,0,0.135951526909089,0.115243434530957,0.158699700989758,0.133799816195994,0.114786650484918,0.152794690500679,0.128320288660778,0.10400575807515,0.155127956368315,6.33830475126023,6.13200292050574,6.5775899707951,5.917,6,6,NA,NA,NA,5.991,6,6,5.587,5,6,9.461,9,10
2019-10-04,0.234245591652879,0.177078414476241,0.295397126940216,0.250565377695996,0.176443080228304,0.331531115572931,NA,NA,NA,0.298520889365683,0.190382433903289,0.406690206548145,0.2349957047236,0.13542452428896,0.342691467872716,0.0909890887428813,0.0360385328255949,0.158456263729682,0.600605560561342,0.566813099460097,0.632804741633033,0,0,0,0.136132274617681,0.115243318379729,0.159396843569324,0.134537325005056,0.115136668374714,0.153949829345031,0.128724839815921,0.104105660423129,0.155741279437107,6.3222291182153,6.05951062065365,6.57534877943413,5.9,5.90000000000001,6,NA,NA,NA,5.985,6,6,5.537,5,6,9.464,9,10
2019-10-05,0.223789704658653,0.166857791218978,0.287834036465612,0.238074680568024,0.162916443924139,0.319567791455325,NA,NA,NA,0.294371322062922,0.182672853174268,0.404379417082582,0.223047173790352,0.121767620998949,0.335047980016799,0.085387919017253,0.0326862221577533,0.150944091970448,0.599230457466453,0.565199170900394,0.631839858777982,0,0,0,0.13631882375772,0.114937963620595,0.160114738818951,0.135297909311507,0.115341305852668,0.154976299517202,0.12915280946432,0.104147853593889,0.156742494828456,6.3412075845405,6.11576505212192,6.58626609851209,5.912,6,6,NA,NA,NA,5.986,6,6,5.57,5,6,9.51,9,10
2019-10-06,0.190930514842764,0.135949026028795,0.252750805171237,0.202339077791063,0.131886578378328,0.282515250793773,NA,NA,NA,0.257330388170386,0.151040729283552,0.36553404705523,0.190162609803028,0.0979477770511952,0.292253975055989,0.0706015600764836,0.0261785799571272,0.126232332730732,0.597708065299453,0.562565230325159,0.630995300350738,0,0,0,0.13652349520807,0.114565733520568,0.16067554414847,0.136130794155671,0.115808217664325,0.156365036818832,0.129637645336806,0.104011006966672,0.157908408609483,6.40747827970078,6.22380008127243,6.62586903032602,5.954,6,6,NA,NA,NA,6.005,6,6,5.752,5,6,9.603,9,11
2019-10-07,0.154885619347928,0.100881735798651,0.213385761062755,0.16389705104817,0.100117770317499,0.236165235870352,NA,NA,NA,0.210626822039504,0.120331517243009,0.309680467328113,0.156315088873745,0.0778957545272365,0.246058466194858,0.0547861035934011,0.0199991377802217,0.0971470664239101,0.595912379879196,0.559960451576768,0.630128751718237,0,0,0,0.136767293097577,0.114594687873884,0.161320874196545,0.137123930387895,0.116208800215417,0.157705673166661,0.130196396635333,0.10395428510773,0.159127093681685,6.48305203357392,6.30155881318019,6.69045369474641,6,6,6,NA,NA,NA,6.051,6,6,5.902,5,6,9.755,9,11
2019-10-08,0.135044403582549,0.084109870349112,0.190573710716081,0.142871291470332,0.0844869142793162,0.209855562025799,NA,NA,NA,0.182800758165815,0.102912374770026,0.275772631252962,0.139859843370111,0.0708759386189617,0.217799446716035,0.0455605808437373,0.0167912566608233,0.0810193843409207,0.593938275345936,0.55679220267877,0.628826543313507,0,0,0,0.13704244689048,0.114149071293511,0.162053065799624,0.138240229929766,0.11633592915643,0.159950227814443,0.130779047833818,0.103937199638432,0.160608221631053,6.56914658036457,6.34265023185906,6.80401275184685,6.049,6,6,NA,NA,NA,6.151,6,7,5.999,6,6,9.97,9,11
2019-10-09,0.146112441376069,0.0965651502470805,0.198278459964312,0.15442198184252,0.0969375750150282,0.21794902159461,NA,NA,NA,0.196556906503323,0.118968475444903,0.284313164227729,0.155366450156877,0.0861846531454273,0.232114850396507,0.0475848378903729,0.0190587633270554,0.082636974384986,0.592080748410984,0.553584397897356,0.627645772419122,0,0,0,0.137308739479628,0.113729532330694,0.162881467275236,0.139315328971195,0.116622920538301,0.161466196930626,0.131295183138193,0.103994676115248,0.161693702684784,6.62393959648418,6.36196455991567,6.91414445079576,6.081,6,6,NA,NA,NA,6.237,6,7,6.028,6,6,10.108,9,11
2019-10-10,0.190296006044351,0.14588832483073,0.238034720810411,0.200611193610358,0.145560510822631,0.260349572943901,NA,NA,NA,0.25638529357982,0.172450409883111,0.343767467574448,0.205738091553429,0.128767350494969,0.291653176640915,0.0608459614050503,0.0273502832021323,0.102033349351748,0.590616489380908,0.551406438421013,0.626756559103333,0,0,0,0.137523011499773,0.113631530584525,0.16377581731788,0.140178824389085,0.116945188270528,0.163378395859844,0.131681674730234,0.104010338337088,0.162555891032477,6.58855131945947,6.36241822805947,6.81395475812492,6.033,6,6,NA,NA,NA,6.198,6,7,5.995,6,6,10.116,9,11
