Date,Survival Overall Est,Survival Overall LCL 80,Survival Overall UCL 80,Survival Sacramento Est,Survival Sacramento LCL 80,Survival Sacramento UCL 80,Survival Yolo Est,Survival Yolo LCL 80,Survival Yolo UCL 80,Survival Sutter Est,Survival Sutter LCL 80,Survival Sutter UCL 80,Survival Steamboat Est,Survival Steamboat LCL 80,Survival Steamboat UCL 80,Survival Interior Delta Est,Survival Interior Delta LCL 80,Survival Interior Delta UCL 80,Routing Probability Sacramento Est,Routing Probability Sacramento LCL 80,Routing Probability Sacramento UCL 80,Routing Probability Yolo Est,Routing Probability Yolo LCL 80,Routing Probability Yolo UCL 80,Routing Probability Sutter Est,Routing Probability Sutter LCL 80,Routing Probability Sutter UCL 80,Routing Probability Steamboat Est,Routing Probability Steamboat LCL 80,Routing Probability Steamboat UCL 80,Routing Probability Interior Delta Est,Routing Probability Interior Delta LCL 80,Routing Probability Interior Delta UCL 80,Median Travel Time Overall Est,Median Travel Time Overall LCL 80,Median Travel Time Overall UCL 80,Median Travel Time Sacramento Est,Median Travel Time Sacramento LCL 80,Median Travel Time Sacramento UCL 80,Median Travel Time Yolo Est,Median Travel Time Yolo LCL 80,Median Travel Time Yolo UCL 80,Median Travel Time Sutter Est,Median Travel Time Sutter LCL 80,Median Travel Time Sutter UCL 80,Median Travel Time Steamboat Est,Median Travel Time Steamboat LCL 80,Median Travel Time Steamboat UCL 80,Median Travel Time Interior Delta Est,Median Travel Time Interior Delta LCL 80,Median Travel Time Interior Delta UCL 80
2021-10-01,0.00136888767854669,4.96892995081823e-05,0.0028679697216446,0.00109148918411216,2.77926002430839e-05,0.00222451897075466,NA,NA,NA,0.00361579415612134,8.86703556883936e-05,0.00750747300612854,0.00116795481443949,2.55558618126108e-05,0.00240286780908197,0.000438768064753398,5.48251011338632e-06,0.0008554161711085,0.575564986975568,0.529504260062617,0.621654257889762,0,0,0,0.138973772707553,0.110463343363183,0.168209527465311,0.150332539426919,0.120959120708375,0.180888147576972,0.13512870088996,0.102864004087731,0.169993222672282,9.39703203528381,7.13786944243414,14.981936124783,8.904,7,16,NA,NA,NA,7.944,6,11,8.782,6,16,13.671,10,21
2021-10-02,0.00178175119345346,8.23664034645322e-05,0.00392541699034883,0.00143570885005593,4.69274024595661e-05,0.00308394748489561,NA,NA,NA,0.00463827616771177,0.000145463741257694,0.00977593160185646,0.00153825373040905,4.24369669756611e-05,0.00327780800591192,0.000571001363841587,8.68684825964781e-06,0.00120452031467602,0.575588874363174,0.529607056469509,0.621665174111021,0,0,0,0.138973958720129,0.11046211356974,0.168216068775672,0.150332004567055,0.120953010158118,0.180888377905178,0.135105162349643,0.10285673866875,0.169963473578407,9.09147295045541,7.03334556106122,13.6917140332176,8.604,6,14.1,NA,NA,NA,7.697,6,10,8.468,6,15,13.288,10,19
2021-10-03,0.00195742413753244,0.000107509058936127,0.00431756775070665,0.00161169172626318,6.60555729639475e-05,0.00341381095065943,NA,NA,NA,0.00494166186638768,0.000187713281488497,0.01054870252276,0.00171335122578469,6.26425090950316e-05,0.0037101232251792,0.000618420274402697,1.21292221694274e-05,0.00132165025005426,0.575756532300684,0.529923491152477,0.621772452690431,0,0,0,0.138953230031201,0.110472006628344,0.168145608952539,0.150241533167072,0.12091984106582,0.180691479701103,0.135048704501043,0.102876091998874,0.169849643324506,9.21987456834269,7.18592708125541,13.4271861507203,8.745,7,14,NA,NA,NA,7.854,6,11,8.619,6,14,13.316,10,18
2021-10-04,0.00176881585463178,0.000111163730562489,0.00380745344082947,0.00150953494141628,8.07134800281328e-05,0.00302141161861874,NA,NA,NA,0.00421299071092479,0.00019906189359957,0.00873709573110643,0.00158989677340778,7.56231804686927e-05,0.00340508496526733,0.000543106108019788,1.48850811741746e-05,0.00118257336728511,0.576018412673802,0.53035893884482,0.621945275355933,0,0,0,0.138917381353523,0.11049039340686,0.168017976615117,0.15008667453416,0.120870155132521,0.180358530762795,0.134977531438515,0.102938368360798,0.169609869366608,9.98149442252336,7.57820110918888,13.8874586387505,9.505,7,14,NA,NA,NA,8.739,7,13,9.403,7,13,13.934,11,18
2021-10-05,0.00275842290860363,0.000230255010251007,0.0061378273157524,0.00241534528020358,0.000170300331094696,0.00506749519450998,NA,NA,NA,0.00626361109167795,0.000411448451478418,0.0138220169590853,0.00255814842410586,0.00015872274569117,0.00577937867792576,0.000842491254250195,3.1510191122996e-05,0.00197153428749714,0.576292384580245,0.530799780066837,0.6221278593977,0,0,0,0.138879140476534,0.110510229442651,0.167882735797696,0.149921854975561,0.120818754856525,0.180068023321868,0.13490661996766,0.102966054909966,0.169346604458316,9.39092494439674,7.53401342448102,12.3177630117668,8.897,7,12,NA,NA,NA,8.325,7,11,8.78,7,12,13.269,11,17
2021-10-06,0.00391698428632992,0.000439686305259109,0.00883139415301152,0.00353128194478204,0.000339718830599738,0.00746452528842111,NA,NA,NA,0.00837181492495838,0.000799699190524517,0.0183787710214072,0.00376642656465231,0.000320554094789764,0.00871773861667797,0.0011774716680411,6.53894398993716e-05,0.00288017823104363,0.576550144987243,0.531202098155927,0.622282951518316,0,0,0,0.138842633867941,0.110529386050044,0.16776930907182,0.149764677198087,0.120770511330995,0.179805973472919,0.134842543946729,0.103007152787131,0.169107781709776,9.14929553540288,7.58270566723336,11.2929389068206,8.641,7,11,NA,NA,NA,8.275,7,10,8.506,7,11,12.936,11,15
2021-10-07,0.00718101701689594,0.00115464737147617,0.0158130306553191,0.00661275876436574,0.000872484883163082,0.0139804934319245,NA,NA,NA,0.0146145046060523,0.0019915771916993,0.0331819183128573,0.00712205084404151,0.000859983839064273,0.016788803885992,0.00212800622982749,0.000170957871235147,0.00523144922130908,0.576769306898552,0.531529246269287,0.622344726362786,0,0,0,0.138810875666738,0.110546309097873,0.167665591424916,0.149628273119421,0.120730107280223,0.179579126446388,0.13479154431529,0.103044726452421,0.168950670395747,8.56721684475736,7.49826145585517,9.84726184222254,8.042,7,9,NA,NA,NA,7.8,7,9,7.9,7,9,12.336,11,14
2021-10-08,0.0155637678302364,0.00362653553848363,0.0333430658911982,0.0145710124213029,0.00278117322530357,0.0315071558118168,NA,NA,NA,0.0304454649961125,0.00614230801502236,0.066697980133549,0.0157967176929875,0.00265696867269175,0.0348504568055712,0.00453072606119994,0.000517456290120934,0.0108737295984539,0.576916452108695,0.531714985101629,0.622493351309005,0,0,0,0.138787272183408,0.110603859711465,0.167576108784586,0.149527472977613,0.120703807992514,0.179413144272025,0.134768802730285,0.10307800760172,0.168863278470835,7.92744982706908,7.31307352289538,8.68893584947637,7.393,7,8,NA,NA,NA,7.26,7,8,7.233,6,8,11.68,10,13
2021-10-09,0.0282756433755074,0.00875400644427086,0.055497515511477,0.0269004131332266,0.0072465114967692,0.0548810519509404,NA,NA,NA,0.052975619982287,0.0152440752098869,0.106393277249135,0.0294450598452619,0.00709260929149727,0.0606894153465348,0.00805551669503697,0.00132415378503702,0.018214652701296,0.576911821920998,0.531771942874921,0.622513547625836,0,0,0,0.138782974755382,0.110625448521122,0.167544478747536,0.149510476335804,0.120707348029501,0.179387398022694,0.134794726987815,0.103091985003226,0.168898966591071,7.59876710228366,7.16600008926966,8.26071931235044,7.064,7,8,NA,NA,NA,7.008,6,8,6.871,6,7,11.305,10,12
2021-10-10,0.042720951293971,0.0175008120368114,0.0763431066403948,0.0410790327183994,0.0147307231504361,0.0770566803620911,NA,NA,NA,0.0771890401079623,0.0291177691281344,0.139844027339903,0.0456849123616907,0.0141896557919704,0.0884302602254463,0.0119866016725445,0.00256411600670112,0.02479971249504,0.576709421346092,0.531351087789496,0.622364748893907,0,0,0,0.138809505049463,0.110569908516157,0.167626543815627,0.149625431221617,0.120747590326064,0.179577367239162,0.134855642382828,0.103065882701593,0.169114757697278,7.47522340781328,6.97209840622895,7.85259411020516,6.935,6,7,NA,NA,NA,6.944,6,7,6.702,6,7,11.191,10,12
