Date,Survival Overall Est,Survival Overall LCL 80,Survival Overall UCL 80,Survival Sacramento Est,Survival Sacramento LCL 80,Survival Sacramento UCL 80,Survival Yolo Est,Survival Yolo LCL 80,Survival Yolo UCL 80,Survival Sutter Est,Survival Sutter LCL 80,Survival Sutter UCL 80,Survival Steamboat Est,Survival Steamboat LCL 80,Survival Steamboat UCL 80,Survival Interior Delta Est,Survival Interior Delta LCL 80,Survival Interior Delta UCL 80,Routing Probability Sacramento Est,Routing Probability Sacramento LCL 80,Routing Probability Sacramento UCL 80,Routing Probability Yolo Est,Routing Probability Yolo LCL 80,Routing Probability Yolo UCL 80,Routing Probability Sutter Est,Routing Probability Sutter LCL 80,Routing Probability Sutter UCL 80,Routing Probability Steamboat Est,Routing Probability Steamboat LCL 80,Routing Probability Steamboat UCL 80,Routing Probability Interior Delta Est,Routing Probability Interior Delta LCL 80,Routing Probability Interior Delta UCL 80,Median Travel Time Overall Est,Median Travel Time Overall LCL 80,Median Travel Time Overall UCL 80,Median Travel Time Sacramento Est,Median Travel Time Sacramento LCL 80,Median Travel Time Sacramento UCL 80,Median Travel Time Yolo Est,Median Travel Time Yolo LCL 80,Median Travel Time Yolo UCL 80,Median Travel Time Sutter Est,Median Travel Time Sutter LCL 80,Median Travel Time Sutter UCL 80,Median Travel Time Steamboat Est,Median Travel Time Steamboat LCL 80,Median Travel Time Steamboat UCL 80,Median Travel Time Interior Delta Est,Median Travel Time Interior Delta LCL 80,Median Travel Time Interior Delta UCL 80
2020-10-01,0.00123778515246316,2.3996084597734e-05,0.00280358081572983,0.0010759695161053,1.1191389624618e-05,0.00225151728611726,NA,NA,NA,0.00303009055041373,4.53912482941081e-05,0.00648620958496871,0.000948966799277448,8.51682836734701e-06,0.00212542282858704,0.000391694415288065,2.20071603284725e-06,0.000845439283204304,0.581629587684723,0.538110942768388,0.625334242370224,0,0,0,0.138697458365564,0.111799183869622,0.168604393632626,0.145744813220449,0.119695391860635,0.171776020639936,0.133928140729264,0.102827850810351,0.166153870535966,7.75453144529712,6.55953042348339,8.21392781939941,7.191,6,8,NA,NA,NA,6.956,6,7,7.193,6,7,11.622,10,13
2020-10-02,0.00132056435426327,2.87125143492517e-05,0.00301213618331994,0.00115314499652448,1.39368348086471e-05,0.0024411605853014,NA,NA,NA,0.00319735802208614,5.47133200664775e-05,0.00680813000557244,0.00103183701289468,1.11114307497947e-05,0.00231765117774143,0.000414454704481476,2.78718783468551e-06,0.000918655866302718,0.581167293893583,0.537289523680859,0.625167516138834,0,0,0,0.138760969222878,0.111731631054686,0.168830390842695,0.146012844608213,0.119766963429674,0.172260457305659,0.134058892275325,0.10281425286423,0.166426141606601,7.87768925142909,6.62789728539365,8.45893783526286,7.319,6,8,NA,NA,NA,7.077,6,7,7.332,6,8,11.708,10,13
2020-10-03,0.00163014433375665,4.50046837772074e-05,0.00385670437162338,0.00143043796991301,2.26027534201093e-05,0.00317179498570831,NA,NA,NA,0.00388931014057529,8.58586137838901e-05,0.00892075302143614,0.00131040976712182,1.7420700589341e-05,0.00304052201740027,0.000512461244890365,4.47199253328333e-06,0.00116331447405353,0.580698818762853,0.536597132247309,0.625132401970362,0,0,0,0.138825762470876,0.111676099816849,0.169098825526995,0.146285792239255,0.119802944504355,0.172798111592907,0.134189626527016,0.102811267330641,0.166704890957089,7.76188390503334,6.64071154243574,8.35952139669696,7.208,6,8,NA,NA,NA,6.99,6,7,7.168,6,8,11.582,10,13
2020-10-04,0.00192966724305188,6.42400272005393e-05,0.00463169881801108,0.00170529790044142,3.50378484463053e-05,0.00383250571812652,NA,NA,NA,0.00451886258522823,0.000123761206610093,0.0105154509353589,0.00159449842530882,2.69071714060662e-05,0.00373483189709583,0.000604888712589859,6.77417732455879e-06,0.00140070204740681,0.580249852906645,0.536025785041037,0.625075610952742,0,0,0,0.138890227644161,0.111622602966227,0.169360237064559,0.146555673660517,0.119859392778831,0.173307959846667,0.134304245788677,0.102835439982039,0.166967657081663,7.78228505753256,6.7649946765307,8.44347467046855,7.241,6,8,NA,NA,NA,7.025,6,8,7.152,6,8,11.572,10,13
2020-10-05,0.00252230665481043,0.000110129588224992,0.00615917022938218,0.00224549036750554,6.33399035911672e-05,0.00528465205740035,NA,NA,NA,0.00578001830264606,0.000212382351204137,0.0139033977931539,0.00215052423325787,4.64596372243299e-05,0.005146175957006,0.000794053842663244,1.17487002420324e-05,0.00182025314979615,0.579911131003961,0.535531329835517,0.625022911400093,0,0,0,0.138940533181017,0.111579338124555,0.169559781916658,0.146765207925871,0.119913135354355,0.173698605799573,0.134383127889151,0.102854744713333,0.167198516530302,7.67399856054599,6.79279826483263,8.29015886806433,7.145,6,8,NA,NA,NA,6.983,6,8,7.001,6,8,11.412,10,13
2020-10-06,0.0035159423406965,0.000207352681896555,0.00862224469099397,0.00315020091347124,0.000121215701233064,0.00773252233384604,NA,NA,NA,0.00789134275929937,0.000397750110833248,0.0194522103375242,0.00308667485353887,8.70847382031215e-05,0.00772172482660002,0.00111630486395611,2.27517810311973e-05,0.00264910334423743,0.579706593189728,0.535211523399675,0.624993436097485,0,0,0,0.138969827442202,0.111568289779491,0.169675802006714,0.146888025756479,0.11995114032734,0.173918778149438,0.134435553611591,0.102834374915576,0.167316257314586,7.48703855619716,6.66629881555564,7.92045326496367,6.949,6,7,NA,NA,NA,6.851,6,7,6.782,6,7,11.234,10,12
2020-10-07,0.00458661471601536,0.000360739166652326,0.0110721060154163,0.00412297200217759,0.000216276073028778,0.00994987892440406,NA,NA,NA,0.0101405786540328,0.000704814557072538,0.0246563274207105,0.00412740493363987,0.000158369933685117,0.0103206652538602,0.00146676166920881,4.06795724039967e-05,0.00359625395676211,0.57953557669157,0.534917370043086,0.624976961173075,0,0,0,0.138992477146011,0.111569132292499,0.169766098784405,0.146984306960043,0.120029141658007,0.174083035554824,0.134487639202376,0.102811700410154,0.167416414303565,7.45263241575427,6.72742650952663,7.8062018223451,6.905,6,7,NA,NA,NA,6.896,6,7,6.729,6,7,11.179,10,12
2020-10-08,0.00787919617792756,0.000948251703175686,0.0193815803349005,0.00707821406575272,0.000512952493572033,0.0173357971077197,NA,NA,NA,0.0173172793470609,0.00170433359662854,0.0425929637387357,0.00721601770616161,0.00040849019145654,0.0178099985883649,0.00255023934288771,0.000100260529832156,0.00629406409685584,0.579321789906446,0.534554448884582,0.624957065757077,0,0,0,0.139020450922368,0.11157017167558,0.169878936096185,0.147103271108403,0.120088822167717,0.174261129406308,0.134554488062784,0.102791718718275,0.167538247179873,7.07504094008421,6.52315403642216,7.59315477810186,6.518,6,7,NA,NA,NA,6.601,6,7,6.281,6,7,10.823,10,12
2020-10-09,0.0102660824315184,0.00145832901221803,0.0249114557548538,0.00920594265930908,0.000833183423060086,0.0222684054190893,NA,NA,NA,0.0225539794314718,0.00274216702140689,0.053313771817324,0.00948182457741977,0.000648998927467928,0.0231023223595054,0.00333626426683353,0.000153469968224606,0.00821029901500804,0.579044197285111,0.534108716205101,0.624887504357474,0,0,0,0.139057875434602,0.111563085416868,0.170007801965548,0.147261467764657,0.120122731916389,0.174476044266234,0.134636459515629,0.102786321634615,0.16770489431081,6.87149333561238,6.47303965638631,7.44988459394152,6.274,6,7,NA,NA,NA,6.452,6,7,6.125,6,7,10.687,10,12
2020-10-10,0.0107972532608264,0.00164335001191101,0.025874492442346,0.00963175134735865,0.000900765081068995,0.0230801615884246,NA,NA,NA,0.0238887308665522,0.00308466493891221,0.0557686240479093,0.0100099736239885,0.000716914502814794,0.024984748037888,0.00352109263438195,0.000164975592952106,0.00863883226617469,0.578742352576234,0.533665326645905,0.624819389035691,0,0,0,0.139101870410736,0.111558995773156,0.170117486842999,0.147445167454029,0.120144386367702,0.17475476624882,0.134710609559001,0.102776133321265,0.167876547155784,6.8857085677013,6.4801519669337,7.46434936793846,6.288,6,7,NA,NA,NA,6.486,6,7,6.122,6,7,10.698,10,12
